event_id,name,event_date,time,location,price,event_slots,waitlist_capacity,device_id,geo_location_enabled,signup_deadline,entrants_chosen,disabled,waitlisted_count,finalist_count,selected_count,cancelled_count,reselected_count,join_location_count,demand_count,fill_rate,oversubscription_ratio
event_028,Wellness Session 28,07/06/2026,13:45,"4752 Whyte Ave, Edmonton, AB",0,22,38,device_007,True,06/17/2026,True,False,0,16,1,0,1,16,18,0.727,0.818
event_029,Coding Bootcamp 29,06/11/2026,16:15,"3287 Gateway Blvd, Edmonton, AB",40,60,60,device_022,True,06/02/2026,True,False,0,18,0,0,0,18,18,0.3,0.3
event_030,Career Fair 30,05/16/2026,09:15,"7572 109 St, Edmonton, AB",50,29,29,device_008,True,04/25/2026,True,False,0,18,0,0,0,18,18,0.621,0.621
event_031,Networking Lunch 31,08/16/2026,11:45,"7572 109 St, Edmonton, AB",30,56,76,device_008,True,08/04/2026,False,False,0,18,0,0,0,18,18,0.321,0.321
event_032,Hack Night 32,08/16/2026,15:30,"3287 Gateway Blvd, Edmonton, AB",10,42,57,device_022,False,07/27/2026,True,True,0,18,0,0,0,0,18,0.429,0.429
event_033,Campus Concert 33,08/09/2026,09:45,"4483 Kingsway, Edmonton, AB",5,22,36,device_012,False,08/04/2026,True,False,2,15,1,0,0,0,18,0.682,0.818
event_034,Data Science Meetup 34,05/24/2026,20:45,"4598 104 St, Edmonton, AB",0,72,115,device_006,False,05/20/2026,True,False,0,18,0,0,0,0,18,0.25,0.25
event_035,Data Science Meetup 35,06/11/2026,13:45,"3287 Gateway Blvd, Edmonton, AB",30,53,62,device_022,False,06/01/2026,False,False,0,18,0,0,0,0,18,0.34,0.34
event_036,Research Showcase 36,07/16/2026,19:00,"4483 Kingsway, Edmonton, AB",0,74,89,device_012,False,06/28/2026,True,False,0,18,0,0,0,0,18,0.243,0.243
event_037,Data Science Meetup 37,08/17/2026,09:15,"8573 97 St, Edmonton, AB",0,67,74,device_003,True,08/14/2026,True,False,0,18,0,0,0,18,18,0.269,0.269
event_038,Case Competition 38,05/21/2026,11:45,"8517 82 Ave, Edmonton, AB",30,35,50,device_018,False,05/09/2026,False,False,5,13,0,0,0,0,18,0.371,0.514
event_039,Hack Night 39,05/12/2026,20:45,"4598 104 St, Edmonton, AB",25,71,88,device_006,True,04/30/2026,True,False,0,18,0,0,0,18,18,0.254,0.254
event_040,Volunteer Orientation 40,08/24/2026,15:00,"4598 104 St, Edmonton, AB",50,78,87,device_006,True,08/08/2026,False,False,0,18,0,0,0,18,18,0.231,0.231
