event_id,device_id,stage
event_007,device_018,finalist
event_007,device_020,finalist
event_007,device_003,finalist
event_007,device_012,finalist
event_007,device_007,finalist
event_007,device_002,finalist
event_007,device_011,finalist
event_007,device_015,finalist
event_007,device_006,finalist
event_007,device_013,finalist
event_007,device_017,finalist
event_007,device_008,finalist
event_007,device_014,finalist
event_007,device_019,finalist
event_007,device_016,finalist
event_007,device_010,finalist
event_008,device_005,finalist
event_008,device_022,finalist
event_008,device_015,finalist
event_008,device_018,finalist
event_008,device_011,finalist
event_008,device_010,finalist
event_008,device_014,finalist
event_008,device_016,finalist
event_008,device_017,finalist
event_008,device_007,finalist
event_008,device_012,finalist
event_008,device_006,finalist
event_008,device_013,finalist
event_008,device_003,finalist
event_008,device_020,finalist
event_008,device_019,finalist
event_008,device_023,finalist
event_008,device_002,finalist
event_009,device_018,finalist
event_009,device_023,finalist
event_009,device_019,finalist
event_009,device_006,finalist
event_009,device_012,finalist
event_009,device_016,finalist
event_009,device_002,finalist
event_009,device_017,finalist
event_009,device_013,finalist
event_009,device_011,finalist
event_009,device_003,finalist
event_009,device_020,finalist
event_009,device_008,finalist
event_009,device_007,finalist
event_009,device_015,finalist
event_009,device_010,finalist
event_009,device_014,finalist
event_009,device_005,finalist
event_010,device_019,finalist
event_010,device_015,finalist
event_010,device_005,finalist
event_010,device_016,finalist
event_010,device_006,finalist
event_010,device_023,finalist
event_010,device_014,finalist
event_010,device_007,finalist
event_010,device_013,finalist
event_010,device_002,finalist
event_010,device_008,finalist
event_010,device_010,finalist
event_010,device_017,finalist
event_010,device_022,finalist
event_010,device_003,finalist
event_010,device_018,finalist
event_010,device_011,finalist
event_010,device_020,finalist
event_011,device_010,waitlisted
event_011,device_011,finalist
event_011,device_019,finalist
event_011,device_002,finalist
event_011,device_023,finalist
event_011,device_005,finalist
event_011,device_006,finalist
event_011,device_016,finalist
event_011,device_008,finalist
event_011,device_007,finalist
event_011,device_015,finalist
event_011,device_022,finalist
event_011,device_003,finalist
event_011,device_014,finalist
event_011,device_013,finalist
event_011,device_020,finalist
event_011,device_012,finalist
event_011,device_018,finalist
event_011,device_017,finalist
event_012,device_008,finalist
event_012,device_019,finalist
event_012,device_017,finalist
event_012,device_003,finalist
event_012,device_018,finalist
event_012,device_020,finalist
event_012,device_012,finalist
event_012,device_005,finalist
event_012,device_010,finalist
event_012,device_016,finalist
event_012,device_015,finalist
event_012,device_002,finalist
event_012,device_013,finalist
event_012,device_023,finalist
event_012,device_022,finalist
event_012,device_011,finalist
event_012,device_006,finalist
event_012,device_014,finalist
event_013,device_011,finalist
event_013,device_007,finalist
event_013,device_014,finalist
event_013,device_023,finalist
event_013,device_018,finalist
event_013,device_022,finalist
event_013,device_017,finalist
event_013,device_008,finalist
event_013,device_005,finalist
event_013,device_019,finalist
event_013,device_006,finalist
event_013,device_020,finalist
event_013,device_003,finalist
event_013,device_013,finalist
event_013,device_016,finalist
event_013,device_002,finalist
event_013,device_010,finalist
event_013,device_015,finalist
event_014,device_022,finalist
event_014,device_020,finalist
event_014,device_014,finalist
event_014,device_007,finalist
event_014,device_010,finalist
event_014,device_023,finalist
event_014,device_008,finalist
event_014,device_003,finalist
event_014,device_017,finalist
event_014,device_012,finalist
event_014,device_011,finalist
event_014,device_013,finalist
event_014,device_005,finalist
event_014,device_016,finalist
event_014,device_006,finalist
event_014,device_015,finalist
event_014,device_019,finalist
event_014,device_018,finalist
event_014,device_002,finalist
event_015,device_012,waitlisted
event_015,device_013,finalist
event_015,device_018,finalist
event_015,device_007,finalist
event_015,device_006,finalist
event_015,device_010,finalist
event_015,device_016,finalist
event_015,device_015,finalist
event_015,device_020,finalist
event_015,device_023,finalist
event_015,device_011,finalist
event_015,device_019,finalist
event_015,device_005,finalist
event_015,device_008,finalist
event_015,device_002,finalist
event_015,device_017,selected
event_015,device_022,selected
event_015,device_014,selected
event_016,device_011,finalist
event_016,device_008,finalist
event_016,device_019,finalist
event_016,device_016,finalist
event_016,device_015,finalist
event_016,device_018,finalist
event_016,device_003,finalist
event_016,device_020,finalist
event_016,device_005,finalist
event_016,device_017,finalist
event_016,device_023,finalist
event_016,device_014,finalist
event_016,device_012,finalist
event_016,device_010,finalist
event_016,device_013,finalist
event_016,device_022,finalist
event_016,device_006,finalist
event_016,device_002,finalist
event_017,device_019,waitlisted
event_017,device_002,waitlisted
event_017,device_010,finalist
event_017,device_022,finalist
event_017,device_008,finalist
event_017,device_012,finalist
event_017,device_007,finalist
event_017,device_023,finalist
event_017,device_006,finalist
event_017,device_018,finalist
event_017,device_017,finalist
event_017,device_011,finalist
event_017,device_005,selected
event_017,device_016,selected
event_017,device_015,selected
event_017,device_020,selected
event_017,device_014,selected
event_017,device_013,reselected
event_018,device_013,waitlisted
event_018,device_018,waitlisted
event_018,device_015,waitlisted
event_018,device_012,waitlisted
event_018,device_017,waitlisted
event_018,device_010,waitlisted
event_018,device_020,waitlisted
event_018,device_022,waitlisted
event_018,device_002,waitlisted
event_018,device_003,waitlisted
event_018,device_011,waitlisted
event_018,device_023,waitlisted
event_018,device_006,waitlisted
event_018,device_019,finalist
event_018,device_016,finalist
event_018,device_014,finalist
event_018,device_007,finalist
event_018,device_005,finalist
event_019,device_013,waitlisted
event_019,device_008,waitlisted
event_019,device_020,waitlisted
event_019,device_011,waitlisted
event_019,device_007,waitlisted
event_019,device_012,waitlisted
event_019,device_023,waitlisted
event_019,device_018,finalist
event_019,device_015,finalist
event_019,device_019,finalist
event_019,device_005,finalist
event_019,device_016,finalist
event_019,device_010,finalist
event_019,device_017,finalist
event_019,device_022,finalist
event_019,device_003,finalist
event_019,device_014,finalist
event_019,device_002,finalist
event_020,device_011,finalist
event_020,device_005,finalist
event_020,device_023,finalist
event_020,device_017,finalist
event_020,device_015,finalist
event_020,device_019,finalist
event_020,device_008,finalist
event_020,device_010,finalist
event_020,device_016,finalist
event_020,device_014,finalist
event_020,device_020,finalist
event_020,device_013,finalist
event_020,device_012,finalist
event_020,device_006,finalist
event_020,device_022,finalist
event_020,device_007,finalist
event_020,device_018,finalist
event_020,device_002,finalist
event_021,device_018,finalist
event_021,device_023,finalist
event_021,device_016,finalist
event_021,device_012,finalist
event_021,device_019,finalist
event_021,device_007,finalist
event_021,device_011,finalist
event_021,device_005,finalist
event_021,device_020,finalist
event_021,device_015,finalist
event_021,device_003,finalist
event_021,device_002,finalist
event_021,device_014,finalist
event_021,device_006,finalist
event_021,device_013,finalist
event_021,device_008,finalist
event_021,device_017,finalist
event_021,device_010,finalist
event_022,device_013,finalist
event_022,device_019,finalist
event_022,device_008,finalist
event_022,device_012,finalist
event_022,device_015,finalist
event_022,device_016,finalist
event_022,device_003,finalist
event_022,device_022,finalist
event_022,device_017,finalist
event_022,device_020,finalist
event_022,device_007,finalist
event_022,device_018,finalist
event_022,device_011,finalist
event_022,device_002,finalist
event_022,device_010,finalist
event_022,device_014,finalist
event_022,device_005,finalist
event_022,device_023,finalist
event_023,device_023,finalist
event_023,device_020,finalist
event_023,device_010,finalist
event_023,device_002,finalist
event_023,device_019,finalist
event_023,device_005,finalist
event_023,device_014,finalist
event_023,device_016,finalist
event_023,device_012,finalist
event_023,device_017,finalist
event_023,device_013,finalist
event_023,device_018,finalist
event_023,device_003,finalist
event_023,device_011,finalist
event_023,device_007,finalist
event_023,device_008,finalist
event_023,device_022,selected
event_023,device_015,selected
event_024,device_013,finalist
event_024,device_019,finalist
event_024,device_003,finalist
event_024,device_007,finalist
event_024,device_022,finalist
event_024,device_014,finalist
event_024,device_023,finalist
event_024,device_016,finalist
event_024,device_010,finalist
event_024,device_002,finalist
event_024,device_012,finalist
event_024,device_018,finalist
event_024,device_011,finalist
event_024,device_015,finalist
event_024,device_017,finalist
event_024,device_020,finalist
event_024,device_006,finalist
event_024,device_005,finalist
event_025,device_006,finalist
event_025,device_013,finalist
event_025,device_015,finalist
event_025,device_017,finalist
event_025,device_020,finalist
event_025,device_018,finalist
event_025,device_022,finalist
event_025,device_008,finalist
event_025,device_003,finalist
event_025,device_002,finalist
event_025,device_016,finalist
event_025,device_011,finalist
event_025,device_014,finalist
event_025,device_019,finalist
event_025,device_005,finalist
event_025,device_023,finalist
event_025,device_010,finalist
event_025,device_012,finalist
event_026,device_010,waitlisted
event_026,device_007,waitlisted
event_026,device_011,finalist
event_026,device_019,finalist
event_026,device_017,finalist
event_026,device_022,finalist
event_026,device_006,finalist
event_026,device_015,finalist
event_026,device_014,finalist
event_026,device_003,finalist
event_026,device_016,finalist
event_026,device_013,finalist
event_026,device_020,finalist
event_026,device_002,finalist
event_026,device_005,finalist
event_026,device_018,finalist
event_026,device_012,finalist
event_026,device_023,finalist
event_027,device_015,finalist
event_027,device_002,finalist
event_027,device_018,finalist
event_027,device_005,finalist
event_027,device_013,finalist
event_027,device_023,finalist
event_027,device_011,finalist
event_027,device_008,finalist
event_027,device_019,finalist
event_027,device_016,finalist
event_027,device_007,finalist
event_027,device_020,finalist
event_027,device_003,finalist
event_027,device_014,finalist
event_027,device_022,finalist
event_027,device_012,finalist
event_027,device_017,finalist
event_027,device_006,finalist
event_027,device_010,finalist
event_028,device_019,finalist
event_028,device_014,finalist
event_028,device_010,finalist
event_028,device_022,finalist
event_028,device_015,finalist
event_028,device_013,finalist
event_028,device_006,finalist
event_028,device_018,finalist
event_028,device_003,finalist
event_028,device_017,finalist
event_028,device_023,finalist
event_028,device_011,finalist
event_028,device_012,finalist
event_028,device_002,finalist
event_028,device_020,finalist
event_028,device_016,finalist
event_028,device_005,selected
event_028,device_008,reselected
event_029,device_005,finalist
event_029,device_012,finalist
event_029,device_010,finalist
event_029,device_011,finalist
event_029,device_007,finalist
event_029,device_017,finalist
event_029,device_019,finalist
event_029,device_002,finalist
event_029,device_013,finalist
event_029,device_023,finalist
event_029,device_020,finalist
event_029,device_016,finalist
event_029,device_003,finalist
event_029,device_008,finalist
event_029,device_014,finalist
event_029,device_018,finalist
event_029,device_015,finalist
event_029,device_006,finalist
event_030,device_005,finalist
event_030,device_017,finalist
event_030,device_011,finalist
event_030,device_016,finalist
event_030,device_013,finalist
event_030,device_020,finalist
event_030,device_018,finalist
event_030,device_022,finalist
event_030,device_002,finalist
event_030,device_019,finalist
event_030,device_012,finalist
event_030,device_023,finalist
event_030,device_003,finalist
event_030,device_014,finalist
event_030,device_015,finalist
event_030,device_007,finalist
event_030,device_006,finalist
event_030,device_010,finalist
event_031,device_002,finalist
event_031,device_012,finalist
event_031,device_007,finalist
event_031,device_013,finalist
event_031,device_017,finalist
event_031,device_016,finalist
event_031,device_015,finalist
event_031,device_005,finalist
event_031,device_003,finalist
event_031,device_011,finalist
event_031,device_018,finalist
event_031,device_019,finalist
event_031,device_023,finalist
event_031,device_010,finalist
event_031,device_020,finalist
event_031,device_022,finalist
event_031,device_014,finalist
event_031,device_006,finalist
event_032,device_008,finalist
event_032,device_020,finalist
event_032,device_002,finalist
event_032,device_006,finalist
event_032,device_007,finalist
event_032,device_015,finalist
event_032,device_012,finalist
event_032,device_019,finalist
event_032,device_014,finalist
event_032,device_023,finalist
event_032,device_010,finalist
event_032,device_005,finalist
event_032,device_013,finalist
event_032,device_017,finalist
event_032,device_016,finalist
event_032,device_018,finalist
event_032,device_011,finalist
event_032,device_003,finalist
event_033,device_007,waitlisted
event_033,device_020,waitlisted
event_033,device_016,finalist
event_033,device_015,finalist
event_033,device_014,finalist
event_033,device_019,finalist
event_033,device_011,finalist
event_033,device_018,finalist
event_033,device_002,finalist
event_033,device_013,finalist
event_033,device_017,finalist
event_033,device_022,finalist
event_033,device_003,finalist
event_033,device_008,finalist
event_033,device_005,finalist
event_033,device_023,finalist
event_033,device_010,finalist
event_033,device_006,selected
event_034,device_012,finalist
event_034,device_017,finalist
event_034,device_020,finalist
event_034,device_022,finalist
event_034,device_011,finalist
event_034,device_007,finalist
event_034,device_010,finalist
event_034,device_015,finalist
event_034,device_019,finalist
event_034,device_016,finalist
event_034,device_018,finalist
event_034,device_003,finalist
event_034,device_014,finalist
event_034,device_023,finalist
event_034,device_002,finalist
event_034,device_005,finalist
event_034,device_013,finalist
event_034,device_008,finalist
event_035,device_015,finalist
event_035,device_014,finalist
event_035,device_012,finalist
event_035,device_002,finalist
event_035,device_018,finalist
event_035,device_003,finalist
event_035,device_016,finalist
event_035,device_023,finalist
event_035,device_011,finalist
event_035,device_013,finalist
event_035,device_017,finalist
event_035,device_006,finalist
event_035,device_019,finalist
event_035,device_010,finalist
event_035,device_008,finalist
event_035,device_005,finalist
event_035,device_020,finalist
event_035,device_007,finalist
event_036,device_016,finalist
event_036,device_002,finalist
event_036,device_023,finalist
event_036,device_014,finalist
event_036,device_015,finalist
event_036,device_017,finalist
event_036,device_006,finalist
event_036,device_018,finalist
event_036,device_007,finalist
event_036,device_011,finalist
event_036,device_013,finalist
event_036,device_022,finalist
event_036,device_005,finalist
event_036,device_008,finalist
event_036,device_003,finalist
event_036,device_019,finalist
event_036,device_010,finalist
event_036,device_020,finalist
event_037,device_011,finalist
event_037,device_002,finalist
event_037,device_006,finalist
event_037,device_008,finalist
event_037,device_015,finalist
event_037,device_018,finalist
event_037,device_014,finalist
event_037,device_007,finalist
event_037,device_019,finalist
event_037,device_016,finalist
event_037,device_017,finalist
event_037,device_023,finalist
event_037,device_013,finalist
event_037,device_010,finalist
event_037,device_012,finalist
event_037,device_022,finalist
event_037,device_020,finalist
event_037,device_005,finalist
event_038,device_020,waitlisted
event_038,device_003,waitlisted
event_038,device_010,waitlisted
event_038,device_012,waitlisted
event_038,device_023,waitlisted
event_038,device_022,finalist
event_038,device_007,finalist
event_038,device_006,finalist
event_038,device_014,finalist
event_038,device_011,finalist
event_038,device_015,finalist
event_038,device_013,finalist
event_038,device_008,finalist
event_038,device_016,finalist
event_038,device_002,finalist
event_038,device_017,finalist
event_038,device_019,finalist
event_038,device_005,finalist
event_039,device_014,finalist
event_039,device_016,finalist
event_039,device_019,finalist
event_039,device_015,finalist
event_039,device_020,finalist
event_039,device_003,finalist
event_039,device_017,finalist
event_039,device_010,finalist
event_039,device_011,finalist
event_039,device_022,finalist
event_039,device_018,finalist
event_039,device_013,finalist
event_039,device_007,finalist
event_039,device_008,finalist
event_039,device_012,finalist
event_039,device_002,finalist
event_039,device_023,finalist
event_039,device_005,finalist
event_040,device_016,finalist
event_040,device_019,finalist
event_040,device_014,finalist
event_040,device_023,finalist
event_040,device_008,finalist
event_040,device_013,finalist
event_040,device_015,finalist
event_040,device_012,finalist
event_040,device_002,finalist
event_040,device_017,finalist
event_040,device_010,finalist
event_040,device_011,finalist
event_040,device_018,finalist
event_040,device_003,finalist
event_040,device_007,finalist
event_040,device_022,finalist
event_040,device_005,finalist
event_040,device_020,finalist
